                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96025,                 1.9795,                  2.766,                 1.2071,                0.21341,                0.26805,                0.18279,                0.14402,                0.20932,                 0.2632,                0.17615,                0.13878,                 0.8044,                 1.7009,                    inf,                 1.1121,              0.0004287,              0.0004287,              0.0004287
                      2,                0.79048,                 1.4013,                  1.332,                 1.0517,                0.00395,                0.46951,                 0.0031,                0.00195,                0.00292,                0.37621,                0.00208,                0.00084,                 1.9642,                 31.537,                    inf,                 3.5158,             0.00086306,             0.00086306,             0.00086306
                      3,                0.89163,                 1.4267,                 1.3711,                 1.1052,                0.01486,                 0.2632,                0.00629,                 0.0028,                0.00476,                 0.1564,                0.00173,                0.00075,                 2.2856,                 7.9699,                 102.65,                 3.2796,              0.0012886,              0.0012886,              0.0012886
                      4,                0.90862,                 1.4368,                 1.2596,                 1.1069,                0.07177,                0.32403,                 0.0592,                0.03826,                0.06888,                0.30947,                0.04722,                0.02683,                  1.372,                 6.3729,                 46.478,                 1.6565,              0.0013866,              0.0013866,              0.0013866
                      5,                0.89003,                 1.3481,                 1.1774,                 1.0977,                0.11303,                0.54293,                0.09006,                 0.0614,                0.11194,                0.53322,                0.08854,                0.04871,                 1.3072,                 3.7889,                 19.567,                 1.6428,              0.0013866,              0.0013866,              0.0013866
                      6,                0.81651,                 1.2667,                 1.0819,                 1.0623,                0.52664,                0.38774,                0.43719,                 0.3208,                0.52407,                0.36967,                0.40757,                0.27244,                 1.0955,                 2.5535,                 3.4066,                 1.4034,              0.0013724,              0.0013724,              0.0013724
                      7,                0.79198,                 1.1567,                  1.004,                 1.0474,                0.45603,                0.50144,                0.43338,                0.32866,                0.44813,                0.49201,                0.41456,                0.28299,                0.79132,                 2.0246,                 3.5745,                 1.1237,              0.0013583,              0.0013583,              0.0013583
                      8,                0.76037,                 1.1356,                0.92583,                 1.0294,                0.39119,                0.58231,                0.36275,                0.27789,                0.39119,                0.58231,                0.36055,                0.25551,                0.92833,                 1.9252,                 2.8252,                  1.302,              0.0013441,              0.0013441,              0.0013441
                      9,                0.77369,                 1.1126,                0.95638,                 1.0371,                0.46901,                0.68356,                0.53007,                0.40212,                0.48392,                0.69348,                0.53213,                0.37405,                0.90258,                 1.5063,                 2.4827,                 1.1646,                0.00133,                0.00133,                0.00133
                     10,                0.72381,                 1.0532,                0.87589,                 1.0105,                0.62101,                0.47512,                0.46981,                 0.3579,                0.62477,                0.47027,                0.47142,                0.33827,                0.92115,                 1.3818,                 2.0982,                 1.2009,              0.0013158,              0.0013158,              0.0013158
                     11,                0.67975,                 1.0124,                0.83872,                0.99399,                0.77294,                0.63031,                 0.6758,                0.53419,                0.75659,                0.60983,                0.64947,                0.50597,                0.88734,                 1.2878,                 1.4382,                 1.2397,              0.0013017,              0.0013017,              0.0013017
                     12,                0.71334,                 1.0034,                0.83677,                 1.0073,                0.53694,                0.60179,                0.54296,                 0.4564,                0.53694,                0.60179,                0.54164,                0.43341,                0.73514,                 1.0758,                 1.5062,                  1.041,              0.0012875,              0.0012875,              0.0012875
                     13,                0.64634,                0.97361,                0.78499,                0.97033,                0.71474,                0.55428,                0.60282,                0.48618,                0.71042,                0.54943,                0.59377,                0.43192,                0.79464,                 1.5021,                 1.5151,                 1.1748,              0.0012734,              0.0012734,              0.0012734
                     14,                0.65974,                0.98476,                0.73733,                0.98235,                0.57632,                  0.571,                0.62431,                0.52543,                0.57632,                  0.571,                0.62352,                 0.4826,                0.67428,                 1.1719,                 1.4542,                 1.0618,              0.0012592,              0.0012592,              0.0012592
                     15,                0.63671,                0.90664,                  0.742,                0.96427,                0.70899,                0.61089,                0.65252,                0.53864,                0.70416,                0.60604,                0.64891,                0.51949,                0.71517,                 1.0534,                 1.2337,                 1.0487,              0.0012451,              0.0012451,              0.0012451
                     16,                0.65738,                0.92931,                0.72718,                0.97912,                0.63639,                0.60225,                0.61493,                0.49989,                0.60174,                0.61783,                0.61494,                0.45426,                0.69823,                  1.167,                 1.3843,                 1.0248,              0.0012309,              0.0012309,              0.0012309
                     17,                0.63513,                0.88137,                0.75986,                0.96382,                0.76453,                 0.5628,                0.66351,                0.56972,                0.73633,                0.54232,                0.62216,                0.48733,                0.69484,                 1.2804,                 1.2395,                 1.0911,              0.0012168,              0.0012168,              0.0012168
                     18,                0.64154,                0.87875,                0.70632,                0.96983,                 0.5565,                0.64108,                0.61463,                0.53033,                0.58059,                0.67233,                0.62599,                0.47873,                0.83332,                 1.5346,                   1.39,                  1.142,              0.0012026,              0.0012026,              0.0012026
                     19,                0.60175,                 0.8466,                0.67317,                0.95832,                0.77942,                 0.6572,                0.71739,                0.59983,                0.76154,                0.64257,                0.69254,                 0.5576,                0.69991,                 1.4571,                 1.0687,                 1.1065,              0.0011885,              0.0011885,              0.0011885
                     20,                0.58873,                0.81762,                0.62792,                 0.9547,                0.67606,                 0.6684,                0.64958,                 0.5559,                0.65397,                0.65359,                 0.6351,                0.50708,                0.73032,                 1.3999,                  1.345,                  1.114,              0.0011744,              0.0011744,              0.0011744
                     21,                0.59822,                0.86136,                0.61791,                0.95547,                0.66747,                0.71329,                0.71089,                0.61395,                0.74667,                 0.6432,                0.70291,                0.55665,                0.72069,                 1.2475,                 1.2241,                 1.0641,              0.0011602,              0.0011602,              0.0011602
                     22,                0.58659,                0.90122,                0.63423,                 0.9443,                0.57663,                0.66182,                0.60678,                 0.5262,                0.57663,                0.66182,                0.60717,                0.48136,                0.64068,                0.99049,                 1.4807,                 1.0044,              0.0011461,              0.0011461,              0.0011461
                     23,                0.58498,                0.78716,                0.58813,                0.94024,                0.77055,                0.63076,                0.73875,                0.64281,                0.77055,                0.63076,                0.73875,                0.58797,                0.61405,                  1.097,                 1.0503,                0.99054,              0.0011319,              0.0011319,              0.0011319
                     24,                0.57034,                0.77203,                0.62583,                0.94508,                0.77177,                 0.5572,                 0.6616,                0.57216,                0.76763,                0.55155,                0.65664,                0.51471,                0.67649,                 1.1757,                 1.4008,                 1.0379,              0.0011178,              0.0011178,              0.0011178
                     25,                0.56365,                0.78328,                0.60567,                0.93732,                0.74492,                0.62709,                0.66619,                0.57205,                 0.7372,                0.61738,                0.65287,                0.53734,                0.68436,                 1.1146,                 1.2091,                 1.0838,              0.0011036,              0.0011036,              0.0011036
                     26,                0.56697,                0.76183,                0.61141,                0.93657,                0.73984,                 0.6966,                0.72064,                0.64206,                0.73984,                 0.6966,                0.72064,                0.58468,                 0.6786,                  1.112,                 1.1495,                  1.044,              0.0010895,              0.0010895,              0.0010895
                     27,                0.56632,                0.78849,                 0.5846,                0.93771,                0.60221,                0.67333,                0.58223,                0.50518,                0.60221,                0.67333,                0.57699,                0.45867,                 0.6667,                 1.2131,                 1.1907,                 1.0389,              0.0010753,              0.0010753,              0.0010753
                     28,                 0.5525,                0.74145,                0.54763,                0.93007,                0.71037,                0.67266,                0.73007,                 0.6286,                0.69064,                0.65904,                0.70709,                0.58469,                0.68277,                  1.195,                0.99241,                 1.0444,              0.0010612,              0.0010612,              0.0010612
                     29,                0.55663,                0.72373,                0.55863,                0.93358,                0.74783,                0.73399,                0.72726,                 0.6276,                0.80263,                0.67909,                0.71622,                0.57574,                0.66135,                 1.0344,                0.91904,                 1.0638,               0.001047,               0.001047,               0.001047
                     30,                0.53869,                0.68362,                0.55042,                0.92308,                0.64634,                0.67019,                0.59177,                  0.514,                0.63462,                0.65483,                0.57692,                0.48403,                0.63589,                 1.1086,                  1.323,                 1.0183,              0.0010329,              0.0010329,              0.0010329
                     31,                0.57967,                0.71173,                0.57665,                0.94451,                0.75763,                0.66262,                0.67817,                0.57965,                0.73723,                  0.647,                0.65904,                0.54444,                0.68741,                 1.1535,                 1.0372,                  1.029,              0.0010187,              0.0010187,              0.0010187
