                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82066,                 1.5503,                 1.7845,                 1.1502,                0.34381,                0.19831,                0.01008,                 0.0072,                0.34301,                0.17594,                 0.0088,                0.00592,                 1.4089,                  28.42,                    inf,                 2.2445,             0.00047316,             0.00047316,             0.00047316
                      2,                0.95354,                 1.6758,                 1.4253,                  1.228,                0.40303,                0.19101,                0.10895,                 0.0769,                0.40132,                0.18633,                0.09849,                0.06662,                 1.0119,                  2.441,                 8.4091,                  1.382,             0.00094379,             0.00094379,             0.00094379
                      3,                0.95223,                  1.643,                 1.4487,                  1.222,                0.81197,                0.32388,                0.35191,                0.24788,                0.81189,                0.31655,                0.33298,                0.20081,                0.84934,                 1.4656,                 1.5973,                 1.2139,              0.0014087,              0.0014087,              0.0014087
                      4,                0.89098,                 1.5386,                 1.2668,                 1.1784,                0.61133,                 0.2206,                0.20728,                0.15371,                0.61261,                0.22247,                0.20562,                0.14509,                 0.7965,                 1.2196,                 2.8345,                 1.1517,              0.0014033,              0.0014033,              0.0014033
                      5,                 0.8293,                 1.3786,                 1.1428,                 1.1426,                0.61036,                0.39298,                0.33894,                0.27122,                 0.6019,                0.37996,                0.32765,                0.23491,                0.72392,                  1.233,                 1.0595,                 1.0956,              0.0014033,              0.0014033,              0.0014033
                      6,                0.80548,                 1.3626,                 1.1366,                 1.1363,                0.68488,                0.37456,                0.34958,                0.26682,                0.67211,                0.34991,                0.33341,                0.24011,                0.71685,                 1.1943,                 1.2004,                 1.1067,              0.0013947,              0.0013947,              0.0013947
                      7,                0.75631,                 1.2805,                 1.0353,                 1.1019,                  0.608,                0.36283,                0.29161,                0.23077,                0.59277,                0.34972,                0.27149,                0.19948,                0.73208,                  1.634,                 1.4295,                 1.1532,              0.0013861,              0.0013861,              0.0013861
                      8,                0.69942,                 1.2044,                0.98833,                 1.0793,                0.74247,                0.46684,                0.45493,                0.37166,                0.73544,                0.45747,                0.43721,                0.34124,                0.58378,                0.97326,                0.89345,                 1.0314,              0.0013776,              0.0013776,              0.0013776
                      9,                0.69111,                 1.1467,                0.92947,                 1.0718,                0.67387,                0.41891,                0.40523,                0.32919,                 0.6612,                0.40964,                0.39869,                 0.2936,                0.64447,                 1.0512,                0.96946,                 1.0648,               0.001369,               0.001369,               0.001369
                     10,                 0.6694,                 1.0603,                0.87099,                 1.0579,                0.40439,                0.40412,                0.43477,                0.34538,                  0.401,                0.39944,                 0.4294,                0.31175,                0.56475,                 1.0554,                0.97491,                 1.0314,              0.0013604,              0.0013604,              0.0013604
                     11,                0.65512,                 1.0307,                0.84174,                  1.045,                0.45331,                0.38006,                0.41415,                0.35202,                0.44809,                 0.3735,                0.40288,                 0.3188,                0.59685,                      1,                0.89388,                 1.0244,              0.0013518,              0.0013518,              0.0013518
                     12,                0.63333,                 1.0146,                0.81356,                 1.0396,                0.47827,                0.52044,                 0.4222,                0.33492,                0.37299,                0.41189,                0.37412,                0.28623,                0.54427,                0.98166,                0.98108,                0.99934,              0.0013433,              0.0013433,              0.0013433
                     13,                0.61764,                0.96658,                0.81591,                  1.029,                0.78073,                0.38914,                0.42836,                 0.3561,                0.78082,                0.39499,                0.42698,                0.31892,                0.55252,                 1.0285,                0.73535,                 1.0305,              0.0013347,              0.0013347,              0.0013347
                     14,                0.61003,                0.94578,                0.76464,                 1.0219,                0.41644,                0.54199,                0.43613,                0.35325,                0.41538,                0.53983,                 0.4322,                0.32326,                0.55637,                0.91299,                0.99376,                 1.0253,              0.0013261,              0.0013261,              0.0013261
                     15,                0.60097,                0.88905,                0.74671,                 1.0125,                0.85488,                0.42537,                0.49501,                0.40974,                0.85586,                0.42537,                0.49144,                0.37136,                0.56233,                0.96183,                0.78175,                 1.0333,              0.0013175,              0.0013175,              0.0013175
                     16,                0.58592,                0.87884,                0.71919,                 1.0074,                0.81888,                0.44934,                0.45711,                0.37903,                0.82653,                0.45487,                 0.4644,                0.35957,                0.54635,                0.91611,                0.77122,                 1.0267,               0.001309,               0.001309,               0.001309
                     17,                0.55784,                0.85356,                 0.7179,                0.99017,                0.73205,                0.54669,                0.56326,                0.44098,                0.62774,                0.48739,                 0.5024,                0.41421,                0.50789,                0.75729,                0.69575,                0.97833,              0.0013004,              0.0013004,              0.0013004
                     18,                0.54632,                0.82638,                 0.6576,                0.97936,                0.63581,                 0.4434,                0.50635,                0.43608,                0.58659,                0.46328,                0.51144,                0.40754,                0.50356,                0.82159,                 0.6883,                0.97862,              0.0012918,              0.0012918,              0.0012918
                     19,                0.55229,                0.83135,                0.67438,                0.99074,                0.46011,                0.53538,                0.47962,                0.41377,                0.45526,                0.53449,                0.47596,                0.36919,                0.52716,                0.94997,                0.82388,                 1.0075,              0.0012832,              0.0012832,              0.0012832
                     20,                0.55331,                 0.8012,                 0.6856,                0.98226,                0.54787,                 0.5159,                0.52265,                0.44058,                0.54502,                0.51309,                0.51943,                0.40645,                0.49526,                0.81841,                0.75524,                0.99712,              0.0012747,              0.0012747,              0.0012747
                     21,                0.55865,                0.85301,                0.67873,                0.99737,                0.62973,                0.46615,                0.51271,                0.42759,                0.62753,                0.46415,                0.50788,                0.39093,                0.48306,                0.84015,                 0.8126,                0.97634,              0.0012661,              0.0012661,              0.0012661
                     22,                0.53294,                0.79611,                0.61822,                0.97954,                0.74436,                0.50262,                0.59927,                0.51597,                0.74436,                0.50262,                 0.5983,                0.48377,                 0.4843,                0.79748,                0.66436,                0.98069,              0.0012575,              0.0012575,              0.0012575
                     23,                0.53229,                0.77317,                0.59744,                0.97405,                0.74215,                0.48457,                0.59115,                0.51556,                0.74103,                0.48363,                0.59651,                0.48786,                 0.4801,                0.73627,                0.69722,                0.97764,              0.0012489,              0.0012489,              0.0012489
                     24,                0.51861,                0.75937,                0.62372,                0.97805,                0.72928,                0.55081,                0.60808,                0.48664,                0.72686,                0.54935,                0.60682,                0.45127,                0.50297,                0.81051,                0.71535,                 1.0068,              0.0012404,              0.0012404,              0.0012404
                     25,                0.51556,                0.74387,                0.58416,                0.96274,                0.65942,                0.60041,                0.63025,                 0.5436,                0.65915,                0.59922,                0.62791,                0.49181,                0.48554,                0.82969,                0.68139,                0.99093,              0.0012318,              0.0012318,              0.0012318
                     26,                0.51171,                0.78479,                0.60939,                0.96289,                0.57844,                0.60852,                0.56651,                0.46802,                  0.582,                0.61656,                0.57192,                0.43577,                0.49887,                0.88383,                   0.79,                 1.0126,              0.0012232,              0.0012232,              0.0012232
                     27,                0.50736,                0.74051,                0.57915,                0.95813,                0.80874,                0.51733,                0.63161,                0.51361,                0.80793,                0.51606,                0.62865,                0.47646,                0.46983,                0.87955,                0.78066,                0.98682,              0.0012146,              0.0012146,              0.0012146
                     28,                0.49926,                0.73559,                0.61452,                0.95528,                0.57074,                0.60022,                0.55561,                 0.4713,                0.57882,                0.60613,                0.56151,                0.44237,                0.48937,                0.79684,                0.72375,                0.98958,              0.0012061,              0.0012061,              0.0012061
                     29,                0.50923,                0.69947,                 0.5824,                0.95855,                0.76135,                0.57209,                0.64872,                0.49255,                0.75827,                0.56928,                0.64618,                0.46684,                 0.4628,                0.75032,                0.65715,                0.96306,              0.0011975,              0.0011975,              0.0011975
                     30,                0.48024,                0.67607,                0.54717,                0.93567,                0.60415,                0.60112,                0.61543,                0.46704,                0.60194,                0.59924,                0.61429,                0.45963,                0.48805,                0.80442,                0.83771,                0.99728,              0.0011889,              0.0011889,              0.0011889
                     31,                0.49216,                0.71111,                0.55599,                0.94788,                0.62405,                0.62004,                0.62135,                0.46475,                0.62553,                0.62038,                0.62349,                0.44968,                0.46106,                0.68993,                0.68644,                0.96774,              0.0011804,              0.0011804,              0.0011804
                     32,                0.49051,                0.69841,                0.53398,                0.94978,                0.62745,                0.62409,                0.64609,                0.48879,                0.62631,                0.62316,                0.63889,                0.45762,                0.46308,                 0.7697,                0.74215,                0.98101,              0.0011718,              0.0011718,              0.0011718
                     33,                0.46912,                0.66598,                0.50503,                0.94024,                0.64323,                0.73918,                0.66699,                0.54668,                0.64176,                 0.7373,                0.67011,                0.51575,                0.43598,                0.85518,                0.59317,                0.95117,              0.0011632,              0.0011632,              0.0011632
                     34,                0.48142,                0.66803,                0.52229,                0.95065,                0.54731,                0.78293,                0.60356,                0.52029,                0.54635,                0.78199,                0.59764,                0.49276,                0.43701,                0.65749,                0.67381,                0.95764,              0.0011546,              0.0011546,              0.0011546
                     35,                0.48008,                0.68864,                0.51788,                0.94938,                0.56393,                0.65362,                0.54954,                0.46361,                0.55922,                0.65461,                0.54899,                0.43245,                0.44874,                0.73231,                0.70236,                0.99267,              0.0011461,              0.0011461,              0.0011461
                     36,                0.47055,                0.63207,                0.50377,                0.95013,                0.79882,                0.53889,                0.60713,                0.50196,                0.79951,                0.53768,                0.60457,                0.47167,                0.43848,                0.73234,                0.58447,                0.96863,              0.0011375,              0.0011375,              0.0011375
